2026-05-07 05:40:30: 2026-05-07 05:40:30,857 - root - INFO - Database dimuat: 1 chat(s) ditemukan.
2026-05-07 05:40:34: 2026-05-07 05:40:34,720 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getMe "HTTP/1.1 200 OK"
2026-05-07 05:40:34: 2026-05-07 05:40:34,919 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/deleteWebhook "HTTP/1.1 200 OK"
2026-05-07 05:40:34: 2026-05-07 05:40:34,921 - telegram.ext.Application - INFO - Application started
2026-05-07 05:40:45: 2026-05-07 05:40:45,502 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getUpdates "HTTP/1.1 200 OK"
2026-05-07 05:40:55: 2026-05-07 05:40:55,703 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getUpdates "HTTP/1.1 200 OK"
2026-05-07 05:41:05: 2026-05-07 05:41:05,899 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getUpdates "HTTP/1.1 200 OK"
2026-05-07 05:41:16: 2026-05-07 05:41:16,106 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getUpdates "HTTP/1.1 200 OK"
2026-05-07 05:41:26: 2026-05-07 05:41:26,291 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getUpdates "HTTP/1.1 200 OK"
2026-05-07 05:41:36: 2026-05-07 05:41:36,485 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getUpdates "HTTP/1.1 200 OK"
2026-05-07 05:41:46: 2026-05-07 05:41:46,673 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getUpdates "HTTP/1.1 200 OK"
2026-05-07 05:41:56: 2026-05-07 05:41:56,872 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8794836991:AAHQwLCIUVyN0qm2FEM0_qLETTaCr9goMF8/getUpdates "HTTP/1.1 200 OK"
